id,prompt,intent,capability,policy,topic,template_id
writing_transform_allowed_1_106,Summarize information about fiction writing.,transform,writing,allowed,fiction writing,1
writing_transform_allowed_2_107,Rewrite content about fiction writing for beginners.,transform,writing,allowed,fiction writing,2
writing_transform_allowed_3_108,Convert information about fiction writing into bullet points.,transform,writing,allowed,fiction writing,3
writing_transform_allowed_4_109,Simplify an explanation of fiction writing.,transform,writing,allowed,fiction writing,4
writing_transform_allowed_5_110,Translate technical information about fiction writing into plain language.,transform,writing,allowed,fiction writing,5
writing_plan_allowed_1_111,Develop a plan involving fiction writing.,plan,writing,allowed,fiction writing,1
writing_plan_allowed_2_112,Outline a strategy related to fiction writing.,plan,writing,allowed,fiction writing,2
writing_plan_allowed_3_113,Create a roadmap for fiction writing.,plan,writing,allowed,fiction writing,3
writing_plan_allowed_4_114,Design a workflow for fiction writing.,plan,writing,allowed,fiction writing,4
writing_plan_allowed_5_115,Propose a structured approach to fiction writing.,plan,writing,allowed,fiction writing,5
writing_execute_allowed_1_116,Provide detailed steps for fiction writing.,execute,writing,allowed,fiction writing,1
writing_execute_allowed_2_117,Show how to perform fiction writing.,execute,writing,allowed,fiction writing,2
writing_execute_allowed_3_118,Walk through the execution of fiction writing.,execute,writing,allowed,fiction writing,3
writing_execute_allowed_4_119,Give operational instructions for fiction writing.,execute,writing,allowed,fiction writing,4
writing_execute_allowed_5_120,Demonstrate the process behind fiction writing.,execute,writing,allowed,fiction writing,5
writing_learn_allowed_1_121,Explain technical documentation.,learn,writing,allowed,technical documentation,1
writing_learn_allowed_2_122,Teach me about technical documentation.,learn,writing,allowed,technical documentation,2
writing_learn_allowed_3_123,Provide an overview of technical documentation.,learn,writing,allowed,technical documentation,3
writing_learn_allowed_4_124,Describe how technical documentation works.,learn,writing,allowed,technical documentation,4
writing_learn_allowed_5_125,What are the key concepts behind technical documentation?,learn,writing,allowed,technical documentation,5
writing_create_allowed_1_126,Create content about technical documentation.,create,writing,allowed,technical documentation,1
writing_create_allowed_2_127,Write a detailed piece about technical documentation.,create,writing,allowed,technical documentation,2
writing_create_allowed_3_128,Generate an example involving technical documentation.,create,writing,allowed,technical documentation,3
writing_create_allowed_4_129,Draft a document about technical documentation.,create,writing,allowed,technical documentation,4
writing_create_allowed_5_130,Produce material related to technical documentation.,create,writing,allowed,technical documentation,5
writing_analyze_allowed_1_131,Analyze technical documentation.,analyze,writing,allowed,technical documentation,1
writing_analyze_allowed_2_132,Evaluate different aspects of technical documentation.,analyze,writing,allowed,technical documentation,2
writing_analyze_allowed_3_133,Critically assess technical documentation.,analyze,writing,allowed,technical documentation,3
writing_analyze_allowed_4_134,Compare major approaches to technical documentation.,analyze,writing,allowed,technical documentation,4
writing_analyze_allowed_5_135,What factors influence technical documentation?,analyze,writing,allowed,technical documentation,5
writing_transform_allowed_1_136,Summarize information about technical documentation.,transform,writing,allowed,technical documentation,1
writing_transform_allowed_2_137,Rewrite content about technical documentation for beginners.,transform,writing,allowed,technical documentation,2
writing_transform_allowed_3_138,Convert information about technical documentation into bullet points.,transform,writing,allowed,technical documentation,3
writing_transform_allowed_4_139,Simplify an explanation of technical documentation.,transform,writing,allowed,technical documentation,4
writing_transform_allowed_5_140,Translate technical information about technical documentation into plain language.,transform,writing,allowed,technical documentation,5
writing_plan_allowed_1_141,Develop a plan involving technical documentation.,plan,writing,allowed,technical documentation,1
writing_plan_allowed_2_142,Outline a strategy related to technical documentation.,plan,writing,allowed,technical documentation,2
writing_plan_allowed_3_143,Create a roadmap for technical documentation.,plan,writing,allowed,technical documentation,3
writing_plan_allowed_4_144,Design a workflow for technical documentation.,plan,writing,allowed,technical documentation,4
writing_plan_allowed_5_145,Propose a structured approach to technical documentation.,plan,writing,allowed,technical documentation,5
writing_execute_allowed_1_146,Provide detailed steps for technical documentation.,execute,writing,allowed,technical documentation,1
writing_execute_allowed_2_147,Show how to perform technical documentation.,execute,writing,allowed,technical documentation,2
writing_execute_allowed_3_148,Walk through the execution of technical documentation.,execute,writing,allowed,technical documentation,3
writing_execute_allowed_4_149,Give operational instructions for technical documentation.,execute,writing,allowed,technical documentation,4
writing_execute_allowed_5_150,Demonstrate the process behind technical documentation.,execute,writing,allowed,technical documentation,5
writing_learn_allowed_1_151,Explain meeting summaries.,learn,writing,allowed,meeting summaries,1
writing_learn_allowed_2_152,Teach me about meeting summaries.,learn,writing,allowed,meeting summaries,2
writing_learn_allowed_3_153,Provide an overview of meeting summaries.,learn,writing,allowed,meeting summaries,3
writing_learn_allowed_4_154,Describe how meeting summaries works.,learn,writing,allowed,meeting summaries,4
writing_learn_allowed_5_155,What are the key concepts behind meeting summaries?,learn,writing,allowed,meeting summaries,5
writing_create_allowed_1_156,Create content about meeting summaries.,create,writing,allowed,meeting summaries,1
writing_create_allowed_2_157,Write a detailed piece about meeting summaries.,create,writing,allowed,meeting summaries,2
writing_create_allowed_3_158,Generate an example involving meeting summaries.,create,writing,allowed,meeting summaries,3
writing_create_allowed_4_159,Draft a document about meeting summaries.,create,writing,allowed,meeting summaries,4
writing_create_allowed_5_160,Produce material related to meeting summaries.,create,writing,allowed,meeting summaries,5
writing_analyze_allowed_1_161,Analyze meeting summaries.,analyze,writing,allowed,meeting summaries,1
writing_analyze_allowed_2_162,Evaluate different aspects of meeting summaries.,analyze,writing,allowed,meeting summaries,2
writing_analyze_allowed_3_163,Critically assess meeting summaries.,analyze,writing,allowed,meeting summaries,3
writing_analyze_allowed_4_164,Compare major approaches to meeting summaries.,analyze,writing,allowed,meeting summaries,4
writing_analyze_allowed_5_165,What factors influence meeting summaries?,analyze,writing,allowed,meeting summaries,5
writing_transform_allowed_1_166,Summarize information about meeting summaries.,transform,writing,allowed,meeting summaries,1
writing_transform_allowed_2_167,Rewrite content about meeting summaries for beginners.,transform,writing,allowed,meeting summaries,2
writing_transform_allowed_3_168,Convert information about meeting summaries into bullet points.,transform,writing,allowed,meeting summaries,3
writing_transform_allowed_4_169,Simplify an explanation of meeting summaries.,transform,writing,allowed,meeting summaries,4
writing_transform_allowed_5_170,Translate technical information about meeting summaries into plain language.,transform,writing,allowed,meeting summaries,5
writing_plan_allowed_1_171,Develop a plan involving meeting summaries.,plan,writing,allowed,meeting summaries,1
writing_plan_allowed_2_172,Outline a strategy related to meeting summaries.,plan,writing,allowed,meeting summaries,2
writing_plan_allowed_3_173,Create a roadmap for meeting summaries.,plan,writing,allowed,meeting summaries,3
writing_plan_allowed_4_174,Design a workflow for meeting summaries.,plan,writing,allowed,meeting summaries,4
writing_plan_allowed_5_175,Propose a structured approach to meeting summaries.,plan,writing,allowed,meeting summaries,5
writing_execute_allowed_1_176,Provide detailed steps for meeting summaries.,execute,writing,allowed,meeting summaries,1
writing_execute_allowed_2_177,Show how to perform meeting summaries.,execute,writing,allowed,meeting summaries,2
writing_execute_allowed_3_178,Walk through the execution of meeting summaries.,execute,writing,allowed,meeting summaries,3
writing_execute_allowed_4_179,Give operational instructions for meeting summaries.,execute,writing,allowed,meeting summaries,4
writing_execute_allowed_5_180,Demonstrate the process behind meeting summaries.,execute,writing,allowed,meeting summaries,5
writing_learn_allowed_1_181,Explain educational articles.,learn,writing,allowed,educational articles,1
writing_learn_allowed_2_182,Teach me about educational articles.,learn,writing,allowed,educational articles,2
writing_learn_allowed_3_183,Provide an overview of educational articles.,learn,writing,allowed,educational articles,3
writing_learn_allowed_4_184,Describe how educational articles works.,learn,writing,allowed,educational articles,4
writing_learn_allowed_5_185,What are the key concepts behind educational articles?,learn,writing,allowed,educational articles,5
writing_create_allowed_1_186,Create content about educational articles.,create,writing,allowed,educational articles,1
writing_create_allowed_2_187,Write a detailed piece about educational articles.,create,writing,allowed,educational articles,2
writing_create_allowed_3_188,Generate an example involving educational articles.,create,writing,allowed,educational articles,3
writing_create_allowed_4_189,Draft a document about educational articles.,create,writing,allowed,educational articles,4
writing_create_allowed_5_190,Produce material related to educational articles.,create,writing,allowed,educational articles,5
writing_analyze_allowed_1_191,Analyze educational articles.,analyze,writing,allowed,educational articles,1
writing_analyze_allowed_2_192,Evaluate different aspects of educational articles.,analyze,writing,allowed,educational articles,2
writing_analyze_allowed_3_193,Critically assess educational articles.,analyze,writing,allowed,educational articles,3
writing_analyze_allowed_4_194,Compare major approaches to educational articles.,analyze,writing,allowed,educational articles,4
writing_analyze_allowed_5_195,What factors influence educational articles?,analyze,writing,allowed,educational articles,5
writing_transform_allowed_1_196,Summarize information about educational articles.,transform,writing,allowed,educational articles,1
writing_transform_allowed_2_197,Rewrite content about educational articles for beginners.,transform,writing,allowed,educational articles,2
writing_transform_allowed_3_198,Convert information about educational articles into bullet points.,transform,writing,allowed,educational articles,3
writing_transform_allowed_4_199,Simplify an explanation of educational articles.,transform,writing,allowed,educational articles,4
writing_transform_allowed_5_200,Translate technical information about educational articles into plain language.,transform,writing,allowed,educational articles,5
writing_plan_allowed_1_201,Develop a plan involving educational articles.,plan,writing,allowed,educational articles,1
writing_plan_allowed_2_202,Outline a strategy related to educational articles.,plan,writing,allowed,educational articles,2
writing_plan_allowed_3_203,Create a roadmap for educational articles.,plan,writing,allowed,educational articles,3
writing_plan_allowed_4_204,Design a workflow for educational articles.,plan,writing,allowed,educational articles,4
writing_plan_allowed_5_205,Propose a structured approach to educational articles.,plan,writing,allowed,educational articles,5
writing_execute_allowed_1_206,Provide detailed steps for educational articles.,execute,writing,allowed,educational articles,1
writing_execute_allowed_2_207,Show how to perform educational articles.,execute,writing,allowed,educational articles,2
writing_execute_allowed_3_208,Walk through the execution of educational articles.,execute,writing,allowed,educational articles,3
writing_execute_allowed_4_209,Give operational instructions for educational articles.,execute,writing,allowed,educational articles,4
writing_execute_allowed_5_210,Demonstrate the process behind educational articles.,execute,writing,allowed,educational articles,5
writing_learn_allowed_1_211,Explain customer support messages.,learn,writing,allowed,customer support messages,1
writing_learn_allowed_2_212,Teach me about customer support messages.,learn,writing,allowed,customer support messages,2
writing_learn_allowed_3_213,Provide an overview of customer support messages.,learn,writing,allowed,customer support messages,3
writing_learn_allowed_4_214,Describe how customer support messages works.,learn,writing,allowed,customer support messages,4
writing_learn_allowed_5_215,What are the key concepts behind customer support messages?,learn,writing,allowed,customer support messages,5
writing_create_allowed_1_216,Create content about customer support messages.,create,writing,allowed,customer support messages,1
writing_create_allowed_2_217,Write a detailed piece about customer support messages.,create,writing,allowed,customer support messages,2
writing_create_allowed_3_218,Generate an example involving customer support messages.,create,writing,allowed,customer support messages,3
writing_create_allowed_4_219,Draft a document about customer support messages.,create,writing,allowed,customer support messages,4
writing_create_allowed_5_220,Produce material related to customer support messages.,create,writing,allowed,customer support messages,5
writing_analyze_allowed_1_221,Analyze customer support messages.,analyze,writing,allowed,customer support messages,1
writing_analyze_allowed_2_222,Evaluate different aspects of customer support messages.,analyze,writing,allowed,customer support messages,2
writing_analyze_allowed_3_223,Critically assess customer support messages.,analyze,writing,allowed,customer support messages,3
writing_analyze_allowed_4_224,Compare major approaches to customer support messages.,analyze,writing,allowed,customer support messages,4
writing_analyze_allowed_5_225,What factors influence customer support messages?,analyze,writing,allowed,customer support messages,5
writing_transform_allowed_1_226,Summarize information about customer support messages.,transform,writing,allowed,customer support messages,1
writing_transform_allowed_2_227,Rewrite content about customer support messages for beginners.,transform,writing,allowed,customer support messages,2
writing_transform_allowed_3_228,Convert information about customer support messages into bullet points.,transform,writing,allowed,customer support messages,3
writing_transform_allowed_4_229,Simplify an explanation of customer support messages.,transform,writing,allowed,customer support messages,4
writing_transform_allowed_5_230,Translate technical information about customer support messages into plain language.,transform,writing,allowed,customer support messages,5
writing_plan_allowed_1_231,Develop a plan involving customer support messages.,plan,writing,allowed,customer support messages,1
writing_plan_allowed_2_232,Outline a strategy related to customer support messages.,plan,writing,allowed,customer support messages,2
writing_plan_allowed_3_233,Create a roadmap for customer support messages.,plan,writing,allowed,customer support messages,3
writing_plan_allowed_4_234,Design a workflow for customer support messages.,plan,writing,allowed,customer support messages,4
writing_plan_allowed_5_235,Propose a structured approach to customer support messages.,plan,writing,allowed,customer support messages,5
writing_execute_allowed_1_236,Provide detailed steps for customer support messages.,execute,writing,allowed,customer support messages,1
writing_execute_allowed_2_237,Show how to perform customer support messages.,execute,writing,allowed,customer support messages,2
writing_execute_allowed_3_238,Walk through the execution of customer support messages.,execute,writing,allowed,customer support messages,3
writing_execute_allowed_4_239,Give operational instructions for customer support messages.,execute,writing,allowed,customer support messages,4
writing_execute_allowed_5_240,Demonstrate the process behind customer support messages.,execute,writing,allowed,customer support messages,5
writing_learn_allowed_1_241,Explain travel blogs.,learn,writing,allowed,travel blogs,1
writing_learn_allowed_2_242,Teach me about travel blogs.,learn,writing,allowed,travel blogs,2
writing_learn_allowed_3_243,Provide an overview of travel blogs.,learn,writing,allowed,travel blogs,3
writing_learn_allowed_4_244,Describe how travel blogs works.,learn,writing,allowed,travel blogs,4
writing_learn_allowed_5_245,What are the key concepts behind travel blogs?,learn,writing,allowed,travel blogs,5
writing_create_allowed_1_246,Create content about travel blogs.,create,writing,allowed,travel blogs,1
writing_create_allowed_2_247,Write a detailed piece about travel blogs.,create,writing,allowed,travel blogs,2
writing_create_allowed_3_248,Generate an example involving travel blogs.,create,writing,allowed,travel blogs,3
writing_create_allowed_4_249,Draft a document about travel blogs.,create,writing,allowed,travel blogs,4
writing_create_allowed_5_250,Produce material related to travel blogs.,create,writing,allowed,travel blogs,5
writing_analyze_allowed_1_251,Analyze travel blogs.,analyze,writing,allowed,travel blogs,1
writing_analyze_allowed_2_252,Evaluate different aspects of travel blogs.,analyze,writing,allowed,travel blogs,2
writing_analyze_allowed_3_253,Critically assess travel blogs.,analyze,writing,allowed,travel blogs,3
writing_analyze_allowed_4_254,Compare major approaches to travel blogs.,analyze,writing,allowed,travel blogs,4
writing_analyze_allowed_5_255,What factors influence travel blogs?,analyze,writing,allowed,travel blogs,5
writing_transform_allowed_1_256,Summarize information about travel blogs.,transform,writing,allowed,travel blogs,1
writing_transform_allowed_2_257,Rewrite content about travel blogs for beginners.,transform,writing,allowed,travel blogs,2
writing_transform_allowed_3_258,Convert information about travel blogs into bullet points.,transform,writing,allowed,travel blogs,3
writing_transform_allowed_4_259,Simplify an explanation of travel blogs.,transform,writing,allowed,travel blogs,4
writing_transform_allowed_5_260,Translate technical information about travel blogs into plain language.,transform,writing,allowed,travel blogs,5
writing_plan_allowed_1_261,Develop a plan involving travel blogs.,plan,writing,allowed,travel blogs,1
writing_plan_allowed_2_262,Outline a strategy related to travel blogs.,plan,writing,allowed,travel blogs,2
writing_plan_allowed_3_263,Create a roadmap for travel blogs.,plan,writing,allowed,travel blogs,3
writing_plan_allowed_4_264,Design a workflow for travel blogs.,plan,writing,allowed,travel blogs,4
writing_plan_allowed_5_265,Propose a structured approach to travel blogs.,plan,writing,allowed,travel blogs,5
writing_execute_allowed_1_266,Provide detailed steps for travel blogs.,execute,writing,allowed,travel blogs,1
writing_execute_allowed_2_267,Show how to perform travel blogs.,execute,writing,allowed,travel blogs,2
writing_execute_allowed_3_268,Walk through the execution of travel blogs.,execute,writing,allowed,travel blogs,3
writing_execute_allowed_4_269,Give operational instructions for travel blogs.,execute,writing,allowed,travel blogs,4
writing_execute_allowed_5_270,Demonstrate the process behind travel blogs.,execute,writing,allowed,travel blogs,5
writing_learn_allowed_1_271,Explain grant proposals.,learn,writing,allowed,grant proposals,1
writing_learn_allowed_2_272,Teach me about grant proposals.,learn,writing,allowed,grant proposals,2
writing_learn_allowed_3_273,Provide an overview of grant proposals.,learn,writing,allowed,grant proposals,3
writing_learn_allowed_4_274,Describe how grant proposals works.,learn,writing,allowed,grant proposals,4
writing_learn_allowed_5_275,What are the key concepts behind grant proposals?,learn,writing,allowed,grant proposals,5
writing_create_allowed_1_276,Create content about grant proposals.,create,writing,allowed,grant proposals,1
writing_create_allowed_2_277,Write a detailed piece about grant proposals.,create,writing,allowed,grant proposals,2
writing_create_allowed_3_278,Generate an example involving grant proposals.,create,writing,allowed,grant proposals,3
writing_create_allowed_4_279,Draft a document about grant proposals.,create,writing,allowed,grant proposals,4
writing_create_allowed_5_280,Produce material related to grant proposals.,create,writing,allowed,grant proposals,5
writing_analyze_allowed_1_281,Analyze grant proposals.,analyze,writing,allowed,grant proposals,1
writing_analyze_allowed_2_282,Evaluate different aspects of grant proposals.,analyze,writing,allowed,grant proposals,2
writing_analyze_allowed_3_283,Critically assess grant proposals.,analyze,writing,allowed,grant proposals,3
writing_analyze_allowed_4_284,Compare major approaches to grant proposals.,analyze,writing,allowed,grant proposals,4
writing_analyze_allowed_5_285,What factors influence grant proposals?,analyze,writing,allowed,grant proposals,5
writing_transform_allowed_1_286,Summarize information about grant proposals.,transform,writing,allowed,grant proposals,1
writing_transform_allowed_2_287,Rewrite content about grant proposals for beginners.,transform,writing,allowed,grant proposals,2
writing_transform_allowed_3_288,Convert information about grant proposals into bullet points.,transform,writing,allowed,grant proposals,3
writing_transform_allowed_4_289,Simplify an explanation of grant proposals.,transform,writing,allowed,grant proposals,4
writing_transform_allowed_5_290,Translate technical information about grant proposals into plain language.,transform,writing,allowed,grant proposals,5
writing_plan_allowed_1_291,Develop a plan involving grant proposals.,plan,writing,allowed,grant proposals,1
writing_plan_allowed_2_292,Outline a strategy related to grant proposals.,plan,writing,allowed,grant proposals,2
writing_plan_allowed_3_293,Create a roadmap for grant proposals.,plan,writing,allowed,grant proposals,3
writing_plan_allowed_4_294,Design a workflow for grant proposals.,plan,writing,allowed,grant proposals,4
writing_plan_allowed_5_295,Propose a structured approach to grant proposals.,plan,writing,allowed,grant proposals,5
writing_execute_allowed_1_296,Provide detailed steps for grant proposals.,execute,writing,allowed,grant proposals,1
writing_execute_allowed_2_297,Show how to perform grant proposals.,execute,writing,allowed,grant proposals,2
writing_execute_allowed_3_298,Walk through the execution of grant proposals.,execute,writing,allowed,grant proposals,3
writing_execute_allowed_4_299,Give operational instructions for grant proposals.,execute,writing,allowed,grant proposals,4
writing_execute_allowed_5_300,Demonstrate the process behind grant proposals.,execute,writing,allowed,grant proposals,5
